Date,ADA-USD_ADJCLOSE,ADA-USD_CLOSE,ADA-USD_HIGH,ADA-USD_LOW,ADA-USD_OPEN,ADA-USD_VOLUME
2017-09-22,,,,,,
2017-09-23,,,,,,
2017-09-24,,,,,,
2017-09-25,,,,,,
2017-09-26,,,,,,
2017-09-27,,,,,,
2017-09-28,,,,,,
2017-09-29,,,,,,
2017-09-30,,,,,,
2017-10-01,,,,,,
2017-10-02,,,,,,
2017-10-03,,,,,,
2017-10-04,,,,,,
2017-10-05,,,,,,
2017-10-06,,,,,,
2017-10-07,,,,,,
2017-10-08,,,,,,
2017-10-09,,,,,,
2017-10-10,,,,,,
2017-10-11,,,,,,
2017-10-12,,,,,,
2017-10-13,,,,,,
2017-10-14,,,,,,
2017-10-15,,,,,,
2017-10-16,,,,,,
2017-10-17,,,,,,
2017-10-18,,,,,,
2017-10-19,,,,,,
2017-10-20,,,,,,
2017-10-21,,,,,,
2017-10-22,,,,,,
2017-10-23,,,,,,
2017-10-24,,,,,,
2017-10-25,,,,,,
2017-10-26,,,,,,
2017-10-27,,,,,,
2017-10-28,,,,,,
2017-10-29,,,,,,
2017-10-30,,,,,,
2017-10-31,,,,,,
2017-11-01,,,,,,
2017-11-02,,,,,,
2017-11-03,,,,,,
2017-11-04,,,,,,
2017-11-05,,,,,,
2017-11-06,,,,,,
2017-11-07,,,,,,
2017-11-08,,,,,,
2017-11-09,0.0320530012249946,0.0320530012249946,0.0350599996745586,0.0250059999525547,0.0251599997282028,18716200.0
2017-11-10,0.0271189995110034,0.0271189995110034,0.0333480015397071,0.0264509990811347,0.0322190001606941,6766780.0
2017-11-11,0.0274369996041059,0.0274369996041059,0.0296589992940425,0.0256840009242296,0.0268910005688667,5532220.0
2017-11-12,0.0239770002663135,0.0239770002663135,0.0279520004987716,0.0225910004228353,0.027480000630021,7280250.0
2017-11-13,0.025807999074459,0.025807999074459,0.026300000026822,0.0234949998557567,0.0243640001863241,4419440.0
2017-11-14,0.0262299999594688,0.0262299999594688,0.0267880000174045,0.0253420006483793,0.0257970001548528,3033290.0
2017-11-15,0.0264449995011091,0.0264449995011091,0.0277730002999305,0.0252609997987747,0.0261160004884004,6858800.0
2017-11-16,0.0275800004601478,0.0275800004601478,0.0281700007617473,0.0256539992988109,0.0265829991549253,4888130.0
2017-11-17,0.025772999972105,0.025772999972105,0.0274359993636608,0.0251839999109506,0.0271429996937513,3578870.0
2017-11-18,0.0263689998537302,0.0263689998537302,0.0271220002323389,0.0247479993849992,0.0255970004945993,2930550.0
2017-11-19,0.0280840005725622,0.0280840005725622,0.0284780003130435,0.0255810003727674,0.0262429993599653,4725050.0
2017-11-20,0.0295809991657733,0.0295809991657733,0.0322999991476535,0.0276120007038116,0.0281520001590251,16172400.0
2017-11-21,0.0283300001174211,0.0283300001174211,0.0297090001404285,0.027403999119997,0.0295870006084442,5836790.0
2017-11-22,0.0285490006208419,0.0285490006208419,0.029033999890089,0.0278910007327795,0.0283989999443292,4938480.0
2017-11-23,0.0274439994245767,0.0274439994245767,0.0286779999732971,0.0274439994245767,0.0285400003194808,5132300.0
2017-11-24,0.0283819995820522,0.0283819995820522,0.0285969991236925,0.0269629992544651,0.0274059996008873,5502350.0
2017-11-25,0.0304470006376504,0.0304470006376504,0.0304470006376504,0.0277469996362924,0.0283240005373954,6156460.0
2017-11-26,0.0363320000469684,0.0363320000469684,0.0398549996316432,0.0301179997622966,0.0304370000958442,30527100.0
2017-11-27,0.0505929999053478,0.0505929999053478,0.0571269989013671,0.0366190001368522,0.0366190001368522,77777296.0
2017-11-28,0.1197440028190612,0.1197440028190612,0.1317300051450729,0.0479490011930465,0.0506270006299018,240338000.0
2017-11-29,0.0897179991006851,0.0897179991006851,0.1469060033559799,0.0814360007643699,0.1182349994778633,210624992.0
2017-11-30,0.1198830008506774,0.1198830008506774,0.1283030062913894,0.094930000603199,0.094930000603199,124345000.0
2017-12-01,0.1313520073890686,0.1313520073890686,0.1313520073890686,0.1130309998989105,0.1166220009326934,73657600.0
2017-12-02,0.1323509961366653,0.1323509961366653,0.1388690024614334,0.1291320025920868,0.131632998585701,56712600.0
2017-12-03,0.1318069994449615,0.1318069994449615,0.1392199993133545,0.1249449998140335,0.1323509961366653,46458900.0
2017-12-04,0.1358699947595596,0.1358699947595596,0.1459459960460662,0.126350000500679,0.1315460056066513,76392704.0
2017-12-05,0.1274880021810531,0.1274880021810531,0.1364039927721023,0.1267769932746887,0.1356250047683715,50381100.0
2017-12-06,0.1178390011191368,0.1178390011191368,0.1328549981117248,0.1138859987258911,0.1267479956150055,75688800.0
2017-12-07,0.105501003563404,0.105501003563404,0.1241760030388832,0.105501003563404,0.1177660003304481,71024600.0
2017-12-08,0.1154650002717971,0.1154650002717971,0.1207259967923164,0.0991360023617744,0.1061419993638992,70092400.0
2017-12-09,0.119608998298645,0.119608998298645,0.1386599987745285,0.1135609969496727,0.1147449985146522,63308600.0
2017-12-10,0.1102809980511665,0.1102809980511665,0.1197940036654472,0.1001330018043518,0.1197940036654472,46376600.0
2017-12-11,0.1213829964399337,0.1213829964399337,0.1213829964399337,0.1086380034685134,0.1089269965887069,39513900.0
2017-12-12,0.1338910013437271,0.1338910013437271,0.1380079984664917,0.1142219975590705,0.12117700278759,60056800.0
2017-12-13,0.1342809945344925,0.1342809945344925,0.1418540030717849,0.12236800044775,0.1337389945983886,61575000.0
2017-12-14,0.2407529950141906,0.2407529950141906,0.2407529950141906,0.1318430006504058,0.1336670070886612,309307008.0
2017-12-15,0.213467001914978,0.213467001914978,0.2332089990377426,0.1870319992303848,0.2332089990377426,207311008.0
2017-12-16,0.4046649932861328,0.4046649932861328,0.4471920132637024,0.2042330056428909,0.2128749936819076,581052032.0
2017-12-17,0.5130109786987305,0.5130109786987305,0.5924170017242432,0.378013014793396,0.3867749869823456,628142976.0
2017-12-18,0.5181980133056641,0.5181980133056641,0.5264959931373596,0.4674029946327209,0.5119389891624451,253463008.0
2017-12-19,0.5312730073928833,0.5312730073928833,0.58958899974823,0.5010830163955688,0.5202680230140686,279631008.0
2017-12-20,0.4861510097980499,0.4861510097980499,0.5337049961090088,0.4416210055351257,0.5337049961090088,182924000.0
2017-12-21,0.477851003408432,0.477851003408432,0.5236189961433411,0.4565269947052002,0.4900490045547485,162926000.0
2017-12-22,0.407150000333786,0.407150000333786,0.4789740145206451,0.2936410009860992,0.4789740145206451,150972992.0
2017-12-23,0.4140270054340362,0.4140270054340362,0.4503679871559143,0.3925670087337494,0.4144200086593628,88865000.0
2017-12-24,0.3900290131568908,0.3900290131568908,0.4166609942913055,0.3470390141010284,0.4166609942913055,67372304.0
2017-12-25,0.416363000869751,0.416363000869751,0.4397000074386596,0.3628070056438446,0.3923299908638,122194000.0
2017-12-26,0.4284650087356567,0.4284650087356567,0.4300859868526459,0.4056079983711242,0.4135729968547821,94896000.0
2017-12-27,0.4141759872436523,0.4141759872436523,0.4308269917964935,0.4010980129241943,0.4271070063114166,82067504.0
2017-12-28,0.4077009856700897,0.4077009856700897,0.4189339876174927,0.3678869903087616,0.4120199978351593,82263800.0
2017-12-29,0.5292990207672119,0.5292990207672119,0.5568789839744568,0.4039449989795685,0.4104569852352142,266403008.0
2017-12-30,0.6392430067062378,0.6392430067062378,0.7773849964141846,0.471556007862091,0.5283160209655762,645155968.0
2017-12-31,0.719694972038269,0.719694972038269,0.7544460296630859,0.6422970294952393,0.6425809860229492,305947008.0
2018-01-01,0.7286570072174072,0.7286570072174072,0.7300509810447693,0.6719409823417664,0.7188469767570496,150186000.0
2018-01-02,0.7825869917869568,0.7825869917869568,0.7946460247039795,0.6978560090065002,0.7246760129928589,289712000.0
2018-01-03,1.0796600580215454,1.0796600580215454,1.085669994354248,0.778577983379364,0.7796810269355774,657398016.0
2018-01-04,1.1141200065612793,1.1141200065612793,1.3272099494934082,1.0376499891281128,1.0940300226211548,593430016.0
2018-01-05,0.9995589852333068,0.9995589852333068,1.2524199485778809,0.9035030007362366,1.171149969100952,508100000.0
2018-01-06,1.02715003490448,1.02715003490448,1.054010033607483,0.9291830062866212,0.996999979019165,297615008.0
2018-01-07,1.008520007133484,1.008520007133484,1.0439599752426147,0.9913910031318665,1.024150013923645,226067008.0
2018-01-08,0.8990020155906677,0.8990020155906677,0.9993289709091188,0.7643280029296875,0.9993289709091188,264460992.0
2018-01-09,0.8147429823875427,0.8147429823875427,0.919435977935791,0.7961770296096802,0.8981850147247314,209492000.0
2018-01-10,0.7931209802627563,0.7931209802627563,0.8162519931793213,0.6768350005149841,0.8158720135688782,236472000.0
2018-01-11,0.6884120106697083,0.6884120106697083,0.7915220260620117,0.5724999904632568,0.7915220260620117,229000992.0
2018-01-12,0.8975080251693726,0.8975080251693726,0.9322689771652222,0.6599670052528381,0.6957690119743347,365795008.0
2018-01-13,0.8841239809989929,0.8841239809989929,0.9693250060081482,0.8364859819412231,0.9174100160598756,313215008.0
2018-01-14,0.802262008190155,0.802262008190155,0.8819609880447388,0.7495139837265015,0.8819609880447388,160712000.0
2018-01-15,0.7785869836807251,0.7785869836807251,0.8845059871673584,0.777413010597229,0.795760989189148,972993024.0
2018-01-16,0.626492977142334,0.626492977142334,0.7806209921836853,0.4799439907073974,0.7806209921836853,1632649984.0
2018-01-17,0.6291019916534424,0.6291019916534424,0.6785169839859009,0.4406200051307678,0.6241229772567749,1713769984.0
2018-01-18,0.6598430275917053,0.6598430275917053,0.7110080122947693,0.5915279984474182,0.6312950253486633,1285490048.0
2018-01-19,0.6504979729652405,0.6504979729652405,0.6885200142860413,0.6159359812736511,0.6495440006256104,584574016.0
2018-01-20,0.7075099945068359,0.7075099945068359,0.7262420058250427,0.6476439833641052,0.6565639972686768,738798976.0
2018-01-21,0.6131629943847656,0.6131629943847656,0.7063909769058228,0.5907930135726929,0.7063909769058228,847731008.0
2018-01-22,0.5704579949378967,0.5704579949378967,0.6314849853515625,0.5218889713287354,0.6149830222129822,522984000.0
2018-01-23,0.5630699992179871,0.5630699992179871,0.5922309756278992,0.5200129747390747,0.5665370225906372,375958016.0
2018-01-24,0.6222079992294312,0.6222079992294312,0.6360089778900146,0.5447530150413513,0.5633689761161804,689838016.0
2018-01-25,0.6374949812889099,0.6374949812889099,0.6830229759216309,0.6215599775314331,0.6293370127677917,654814016.0
2018-01-26,0.6233819723129272,0.6233819723129272,0.6528480052947998,0.5662180185317993,0.6339030265808105,810062016.0
2018-01-27,0.616832971572876,0.616832971572876,0.6329560279846191,0.5952690243721008,0.6234769821166992,331308992.0
2018-01-28,0.6702859997749329,0.6702859997749329,0.6819459795951843,0.6205599904060364,0.6205599904060364,325145984.0
2018-01-29,0.6232039928436279,0.6232039928436279,0.6693729758262634,0.6207600235939026,0.6693729758262634,238318000.0
2018-01-30,0.5319129824638367,0.5319129824638367,0.6247990131378174,0.5234180092811584,0.6247990131378174,359622016.0
2018-01-31,0.5193150043487549,0.5193150043487549,0.5502520203590393,0.4713369905948639,0.5275980234146118,505904000.0
2018-02-01,0.421671986579895,0.421671986579895,0.5353220105171204,0.4120450019836426,0.5159119963645935,595624000.0
2018-02-02,0.3905340135097503,0.3905340135097503,0.4194599986076355,0.2747339904308319,0.4194599986076355,1438809984.0
2018-02-03,0.438836008310318,0.438836008310318,0.5016390085220337,0.3308149874210357,0.400965005159378,1404499968.0
2018-02-04,0.3793030083179474,0.3793030083179474,0.4801400005817413,0.369823008775711,0.4338650107383728,814753984.0
2018-02-05,0.3273710012435913,0.3273710012435913,0.399522989988327,0.3196460008621216,0.3850440084934234,658547968.0
2018-02-06,0.3697530031204223,0.3697530031204223,0.3787190020084381,0.266523003578186,0.3312090039253235,1338390016.0
2018-02-07,0.3404470086097717,0.3404470086097717,0.3772189915180206,0.3325070142745971,0.3672670125961303,679744000.0
2018-02-08,0.3565840125083923,0.3565840125083923,0.3675040006637573,0.3368220031261444,0.3444640040397644,346383008.0
2018-02-09,0.3916020095348358,0.3916020095348358,0.3941330015659332,0.3429110050201416,0.3528479933738708,401271008.0
2018-02-10,0.4058719873428345,0.4058719873428345,0.4627659916877746,0.3853679895401001,0.3866710066795349,951824000.0
2018-02-11,0.3697690069675445,0.3697690069675445,0.4051960110664367,0.3636240065097809,0.4051040112972259,331944000.0
2018-02-12,0.384315013885498,0.384315013885498,0.3933070003986358,0.3725950121879577,0.3725950121879577,243039008.0
2018-02-13,0.3733139932155609,0.3733139932155609,0.3870179951190948,0.3599199950695038,0.383435994386673,225695008.0
2018-02-14,0.3969079852104187,0.3969079852104187,0.4013209939002991,0.3703930079936981,0.3737660050392151,299008992.0
2018-02-15,0.4093680083751678,0.4093680083751678,0.41668701171875,0.38993701338768,0.3946709930896759,348342016.0
2018-02-16,0.4038099944591522,0.4038099944591522,0.4124040007591247,0.3926759958267212,0.4101420044898987,192420000.0
2018-02-17,0.4198830127716064,0.4198830127716064,0.4280740022659302,0.4010559916496277,0.4024029970169067,341415008.0
2018-02-18,0.3856180012226105,0.3856180012226105,0.4200100004673004,0.3807869851589203,0.4183549880981445,251314000.0
2018-02-19,0.3914720118045807,0.3914720118045807,0.3966079950332641,0.3862240016460418,0.386929988861084,169966000.0
2018-02-20,0.3787789940834045,0.3787789940834045,0.4043290019035339,0.3775390088558197,0.3909420073032379,281249984.0
2018-02-21,0.3644410073757171,0.3644410073757171,0.3835130035877228,0.3633939921855926,0.3755930066108703,242378000.0
2018-02-22,0.3378709852695465,0.3378709852695465,0.3721159994602203,0.3305180072784424,0.362650990486145,208342000.0
2018-02-23,0.3452579975128174,0.3452579975128174,0.3512400090694427,0.3228110074996948,0.3347580134868622,222508992.0
2018-02-24,0.3229660093784332,0.3229660093784332,0.3524880111217499,0.3160640001296997,0.3436680138111114,133524000.0
2018-02-25,0.3440330028533935,0.3440330028533935,0.3545719981193542,0.3144110143184662,0.3221519887447357,247808000.0
2018-02-26,0.3383350074291229,0.3383350074291229,0.3469550013542175,0.3222100138664245,0.3452720046043396,201812992.0
2018-02-27,0.3355360031127929,0.3355360031127929,0.3411889970302582,0.3309710025787353,0.339132010936737,106757000.0
2018-02-28,0.3125810027122497,0.3125810027122497,0.3361630141735077,0.3125630021095276,0.3344860076904297,114757000.0
2018-03-01,0.3043969869613647,0.3043969869613647,0.3119730055332184,0.2883920073509216,0.3119730055332184,184691008.0
2018-03-02,0.293503999710083,0.293503999710083,0.3070580065250397,0.288875013589859,0.304423987865448,107240000.0
2018-03-03,0.297105997800827,0.297105997800827,0.309128999710083,0.292506992816925,0.2929520010948181,115320000.0
2018-03-04,0.3007870018482208,0.3007870018482208,0.3035880029201507,0.2861930131912231,0.2962850034236908,94436000.0
2018-03-05,0.2976219952106476,0.2976219952106476,0.3177230060100555,0.2910549938678741,0.2998969852924347,202675008.0
2018-03-06,0.2853569984436035,0.2853569984436035,0.3030189871788025,0.2839930057525635,0.2959469854831695,110305000.0
2018-03-07,0.2472810000181198,0.2472810000181198,0.2875980138778686,0.2362560033798217,0.2846739888191223,190792992.0
2018-03-08,0.2217430025339126,0.2217430025339126,0.2543540000915527,0.2211309969425201,0.2481600046157837,167808992.0
2018-03-09,0.2222069948911667,0.2222069948911667,0.2251150012016296,0.1918040066957473,0.2212859988212585,246848992.0
2018-03-10,0.2098730057477951,0.2098730057477951,0.2265579998493194,0.2088589966297149,0.2252160012722015,129138000.0
2018-03-11,0.2234980016946792,0.2234980016946792,0.2273219972848892,0.1981530040502548,0.2097209990024566,161362000.0
2018-03-12,0.2237219959497451,0.2237219959497451,0.2373420000076294,0.2196539938449859,0.2241040021181106,184250000.0
2018-03-13,0.2230260074138641,0.2230260074138641,0.2291460037231445,0.2154020071029663,0.2231100052595138,98868704.0
2018-03-14,0.1995619982481002,0.1995619982481002,0.233146995306015,0.1960050016641616,0.2234299927949905,144156000.0
2018-03-15,0.185708999633789,0.185708999633789,0.2016109973192215,0.1724849939346313,0.198754996061325,204232992.0
2018-03-16,0.1788779944181442,0.1788779944181442,0.1867879927158355,0.1750569939613342,0.1867879927158355,97455296.0
2018-03-17,0.1547629982233047,0.1547629982233047,0.1791599988937378,0.1531320065259933,0.1787700057029724,81096600.0
2018-03-18,0.1561550050973892,0.1561550050973892,0.1619590073823928,0.1270460039377212,0.1539310067892074,189688992.0
2018-03-19,0.1976480036973953,0.1976480036973953,0.1976480036973953,0.1569350063800811,0.16074900329113,321964000.0
2018-03-20,0.2049469947814941,0.2049469947814941,0.212004005908966,0.180294007062912,0.1934469938278198,249683008.0
2018-03-21,0.2131890058517456,0.2131890058517456,0.2275020033121109,0.201447993516922,0.2053149938583374,257686000.0
2018-03-22,0.2034810036420822,0.2034810036420822,0.2219689935445785,0.1921319961547851,0.2154030054807663,201540000.0
2018-03-23,0.1892589926719665,0.1892589926719665,0.2028120011091232,0.181424006819725,0.2022980004549026,148850000.0
2018-03-24,0.1892009973526001,0.1892009973526001,0.2011899948120117,0.1830170005559921,0.1888439953327179,132660000.0
2018-03-25,0.1846050024032592,0.1846050024032592,0.1891279965639114,0.1817000061273574,0.188396006822586,59349400.0
2018-03-26,0.1678059995174408,0.1678059995174408,0.1854210048913955,0.1611279994249344,0.1839600056409835,117497000.0
2018-03-27,0.1549260020256042,0.1549260020256042,0.1692250072956085,0.1501639932394027,0.1682150065898895,107510000.0
2018-03-28,0.1600580066442489,0.1600580066442489,0.1655990034341812,0.1544650048017501,0.1551959961652755,60260800.0
2018-03-29,0.1468819975852966,0.1468819975852966,0.1606139987707138,0.1457120031118393,0.1601430028676986,103465000.0
2018-03-30,0.1472090035676956,0.1472090035676956,0.1517820060253143,0.1363169997930526,0.1466539949178695,119874000.0
2018-03-31,0.155919000506401,0.155919000506401,0.1605589985847473,0.1448570042848587,0.1471150070428848,113124000.0
2018-04-01,0.1507679969072342,0.1507679969072342,0.1608249992132187,0.1413429975509643,0.1565970033407211,100833000.0
2018-04-02,0.1563850045204162,0.1563850045204162,0.1587969958782196,0.1485899984836578,0.1516910046339035,102697000.0
2018-04-03,0.172446995973587,0.172446995973587,0.1734379976987838,0.1552540063858032,0.1578640043735504,155987008.0
2018-04-04,0.1553560048341751,0.1553560048341751,0.1791719943284988,0.1536259949207306,0.1711580008268356,154800992.0
2018-04-05,0.1487579941749572,0.1487579941749572,0.1562040001153946,0.1437419950962066,0.155591994524002,113407000.0
2018-04-06,0.1444510072469711,0.1444510072469711,0.1504810005426406,0.1418299973011016,0.1483940035104751,51827500.0
2018-04-07,0.1487939953804016,0.1487939953804016,0.1514690071344375,0.1438290029764175,0.1448850035667419,48205400.0
2018-04-08,0.1565990000963211,0.1565990000963211,0.1584520041942596,0.148825004696846,0.148825004696846,51093100.0
2018-04-09,0.15310600399971,0.15310600399971,0.1656560003757476,0.1474779993295669,0.1570940017700195,93021904.0
2018-04-10,0.1563470065593719,0.1563470065593719,0.1578200012445449,0.1493159979581833,0.1532399952411651,55981300.0
2018-04-11,0.166029006242752,0.166029006242752,0.1664309948682785,0.1540790051221847,0.1567610055208206,91793296.0
2018-04-12,0.2122330069541931,0.2122330069541931,0.2145249992609024,0.1645299941301345,0.1667570024728775,488007008.0
2018-04-13,0.200532004237175,0.200532004237175,0.2183820009231567,0.1965669989585876,0.2116319984197616,230412992.0
2018-04-14,0.2008530050516128,0.2008530050516128,0.206495001912117,0.1947080045938491,0.1986750066280365,113212000.0
2018-04-15,0.2213899940252304,0.2213899940252304,0.2234439998865127,0.1999399960041046,0.2013889998197555,169798000.0
2018-04-16,0.2566460072994232,0.2566460072994232,0.2566460072994232,0.2118079960346222,0.2218890041112899,678780992.0
2018-04-17,0.2437240034341812,0.2437240034341812,0.2726410031318664,0.2427709996700287,0.2550899982452392,520975008.0
2018-04-18,0.2603409886360168,0.2603409886360168,0.2623679935932159,0.2427340000867843,0.2427340000867843,181118000.0
2018-04-19,0.2723580002784729,0.2723580002784729,0.2738359868526459,0.2608180046081543,0.2674930095672607,240910000.0
2018-04-20,0.3012470006942749,0.3012470006942749,0.3016409873962402,0.2696970105171203,0.2709859907627105,349348992.0
2018-04-21,0.290580004453659,0.290580004453659,0.3075520098209381,0.2726840078830719,0.302291989326477,294632992.0
2018-04-22,0.2855350077152252,0.2855350077152252,0.2968789935111999,0.2807649970054626,0.2874880135059356,160968000.0
2018-04-23,0.2884730100631714,0.2884730100631714,0.2896229922771454,0.2835580110549927,0.2855579853057861,127213000.0
2018-04-24,0.3128750026226043,0.3128750026226043,0.3186990022659302,0.2873310148715973,0.2885389924049377,369016992.0
2018-04-25,0.2716540098190307,0.2716540098190307,0.3128049969673157,0.2651639878749847,0.3128049969673157,351596000.0
2018-04-26,0.2942950129508972,0.2942950129508972,0.2949720025062561,0.2598649859428406,0.2707949876785278,220715008.0
2018-04-27,0.2884890139102936,0.2884890139102936,0.3074690103530884,0.2877860069274902,0.2945890128612518,197183008.0
2018-04-28,0.3578740060329437,0.3578740060329437,0.3649539947509765,0.2871299982070923,0.2871299982070923,636742016.0
2018-04-29,0.3650569915771484,0.3650569915771484,0.3879010081291199,0.3475080132484436,0.3606700003147125,671886976.0
2018-04-30,0.3433179855346679,0.3433179855346679,0.3642970025539398,0.3366250097751617,0.3642970025539398,298712000.0
2018-05-01,0.35869300365448,0.35869300365448,0.3632610142230987,0.3237009942531585,0.3429529964923858,365521984.0
2018-05-02,0.3724200129508972,0.3724200129508972,0.3767040073871612,0.3493239879608154,0.3576020002365112,272855008.0
2018-05-03,0.3697090148925781,0.3697090148925781,0.3897489905357361,0.3687889873981476,0.3719260096549988,300814016.0
2018-05-04,0.360181987285614,0.360181987285614,0.3707770109176636,0.3508419990539551,0.3707770109176636,171266000.0
2018-05-05,0.3663380146026611,0.3663380146026611,0.3736050128936767,0.3609620034694671,0.3613179922103882,139447008.0
2018-05-06,0.3500210046768188,0.3500210046768188,0.3659330010414123,0.3414669930934906,0.3659330010414123,148186000.0
2018-05-07,0.3351759910583496,0.3351759910583496,0.349947988986969,0.3235059976577759,0.349947988986969,171384992.0
2018-05-08,0.3283520042896271,0.3283520042896271,0.3482190072536468,0.3230710029602051,0.3355950117111206,142455008.0
2018-05-09,0.3235929906368255,0.3235929906368255,0.3284260034561157,0.3044579923152923,0.3284260034561157,178122000.0
2018-05-10,0.297089010477066,0.297089010477066,0.3279080092906952,0.2963170111179352,0.3238790035247803,122958000.0
2018-05-11,0.2601270079612732,0.2601270079612732,0.2994619905948639,0.2481369972229004,0.2967970073223114,348752000.0
2018-05-12,0.270931988954544,0.270931988954544,0.2834100127220154,0.2412779927253723,0.2626489996910095,255480992.0
2018-05-13,0.2858900129795074,0.2858900129795074,0.2901510000228882,0.2643609941005707,0.2716400027275085,179522000.0
2018-05-14,0.2734340131282806,0.2734340131282806,0.2860879898071289,0.2610859870910644,0.2858519852161407,161643008.0
2018-05-15,0.2601549923419952,0.2601549923419952,0.2787599861621856,0.2576969861984253,0.2742690145969391,97408800.0
2018-05-16,0.2563750147819519,0.2563750147819519,0.2601859867572784,0.24371999502182,0.2590819895267486,108749000.0
2018-05-17,0.2436639964580536,0.2436639964580536,0.2631109952926636,0.2421939969062805,0.2573519945144653,83683800.0
2018-05-18,0.2455440014600753,0.2455440014600753,0.2468090057373047,0.2347809970378875,0.2428160011768341,79212200.0
2018-05-19,0.243270993232727,0.243270993232727,0.2483540028333664,0.2389339953660965,0.2461989969015121,57778000.0
2018-05-20,0.2561360001564026,0.2561360001564026,0.2607850134372711,0.2409739941358566,0.2431430071592331,101310000.0
2018-05-21,0.2488400042057037,0.2488400042057037,0.2611689865589142,0.2471340000629425,0.2561300098896026,85090304.0
2018-05-22,0.2244080007076263,0.2244080007076263,0.2500759959220886,0.2234079986810684,0.2493969947099685,78363296.0
2018-05-23,0.2028730064630508,0.2028730064630508,0.2261500060558319,0.1987980008125305,0.2243929952383041,124268000.0
2018-05-24,0.2089889943599701,0.2089889943599701,0.2133020013570785,0.1931090056896209,0.2033240050077438,127678000.0
2018-05-25,0.200654998421669,0.200654998421669,0.2106360048055648,0.1973199993371963,0.2090599983930587,83368000.0
2018-05-26,0.1965669989585876,0.1965669989585876,0.2054920047521591,0.1958950012922287,0.1997610032558441,60616400.0
