Date,LINK-USD_ADJCLOSE,LINK-USD_CLOSE,LINK-USD_HIGH,LINK-USD_LOW,LINK-USD_OPEN,LINK-USD_VOLUME
2017-11-29,0.1452549993991851,0.1452549993991851,0.1822959929704666,0.1379629969596862,0.1765670031309127,5052720.0
2017-11-30,0.1704609990119934,0.1704609990119934,0.1767970025539398,0.1421629935503006,0.1473599970340728,4621870.0
2017-12-01,0.177823007106781,0.177823007106781,0.1795639991760254,0.1612699925899505,0.169527992606163,4352980.0
2017-12-02,0.2078980058431625,0.2078980058431625,0.2221750020980835,0.1673610061407089,0.1779409945011139,7396790.0
2017-12-03,0.2306289970874786,0.2306289970874786,0.2555280029773712,0.1936070024967193,0.2079979926347732,8765840.0
2017-12-04,0.2295809984207153,0.2295809984207153,0.2532700002193451,0.2067929953336715,0.2325949966907501,6981590.0
2017-12-05,0.3138769865036011,0.3138769865036011,0.3138769865036011,0.2213509976863861,0.2292699962854385,12459200.0
2017-12-06,0.2915700078010559,0.2915700078010559,0.3536489903926849,0.2678419947624206,0.3123579919338226,12387900.0
2017-12-07,0.2600640058517456,0.2600640058517456,0.3083530068397522,0.2358070015907287,0.2836900055408478,6697780.0
2017-12-08,0.2452259957790374,0.2452259957790374,0.2734859883785248,0.2118239998817443,0.2600040137767792,4528570.0
2017-12-09,0.2388589978218078,0.2388589978218078,0.2677049934864044,0.2264149934053421,0.2449849992990493,3173600.0
2017-12-10,0.2528980076313019,0.2528980076313019,0.2670010030269623,0.2159090042114257,0.2410549968481063,3142570.0
2017-12-11,0.2605920135974884,0.2605920135974884,0.2879509925842285,0.2455269992351532,0.2550790011882782,7534170.0
2017-12-12,0.2314240038394928,0.2314240038394928,0.2702639997005462,0.2095959931612014,0.2541140019893646,10320200.0
2017-12-13,0.2618780136108398,0.2618780136108398,0.2880130112171173,0.2241909950971603,0.2314279973506927,10439800.0
2017-12-14,0.3085030019283294,0.3085030019283294,0.3668429851531982,0.2531020045280456,0.2613199949264526,16021700.0
2017-12-15,0.3207930028438568,0.3207930028438568,0.3544520139694214,0.2582240104675293,0.312604010105133,13211800.0
2017-12-16,0.3413929939270019,0.3413929939270019,0.3528600037097931,0.2930049896240234,0.3181990087032318,13859700.0
2017-12-17,0.4175960123538971,0.4175960123538971,0.4444209933280945,0.3399060070514679,0.3418479859828949,20035600.0
2017-12-18,0.4349069893360138,0.4349069893360138,0.4349069893360138,0.3627830147743225,0.418269008398056,18220400.0
2017-12-19,0.4393559992313385,0.4393559992313385,0.5086029767990112,0.4151279926300049,0.4310750067234039,13254800.0
2017-12-20,0.3727959990501404,0.3727959990501404,0.4387289881706238,0.35275599360466,0.4387289881706238,10481200.0
2017-12-21,0.4242869913578033,0.4242869913578033,0.4664340019226074,0.3688110113143921,0.3785620033740997,12030600.0
2017-12-22,0.4268780052661896,0.4268780052661896,0.4563310146331787,0.283609002828598,0.4276480078697204,14979800.0
2017-12-23,0.5776799917221069,0.5776799917221069,0.7233859896659851,0.4392719864845276,0.4392719864845276,24055000.0
2017-12-24,0.5441619753837585,0.5441619753837585,0.6043739914894104,0.4438300132751465,0.5845620036125183,15183200.0
2017-12-25,0.5019329786300659,0.5019329786300659,0.5845419764518738,0.4889900088310241,0.5493370294570923,7740550.0
2017-12-26,0.5214210152626038,0.5214210152626038,0.5496370196342468,0.4359540045261383,0.506289005279541,10452900.0
2017-12-27,0.5055009722709656,0.5055009722709656,0.5306689739227295,0.4605360031127929,0.5157099962234497,6065390.0
2017-12-28,0.5066969990730286,0.5066969990730286,0.5136370062828064,0.436506986618042,0.5027819871902466,5458410.0
2017-12-29,0.4863480031490326,0.4863480031490326,0.5184469819068909,0.4611600041389465,0.5081610083580017,5757530.0
2017-12-30,0.5861279964447021,0.5861279964447021,0.5861279964447021,0.43333300948143,0.4880039989948272,9126190.0
2017-12-31,0.6015520095825195,0.6015520095825195,0.6135380268096924,0.5245159864425659,0.5588089823722839,9962080.0
2018-01-01,0.7335630059242249,0.7335630059242249,0.7361029982566833,0.5742179751396179,0.6004149913787842,11506300.0
2018-01-02,0.6737120151519775,0.6737120151519775,0.7643349766731262,0.5857149958610535,0.7290819883346558,12671100.0
2018-01-03,0.6811670064926147,0.6811670064926147,0.7042499780654907,0.629135012626648,0.6697989702224731,8620400.0
2018-01-04,0.9843680262565612,0.9843680262565612,1.0221500396728516,0.6800940036773682,0.6800940036773682,24679000.0
2018-01-05,0.9074860215187072,0.9074860215187072,1.2638599872589111,0.8516690135002136,0.9587339758872986,23599300.0
2018-01-06,1.0635700225830078,1.0635700225830078,1.1922800540924072,0.9384620189666748,0.9647960066795348,16319300.0
2018-01-07,1.27046000957489,1.27046000957489,1.32177996635437,1.0080499649047852,1.088320016860962,23308800.0
2018-01-08,1.3773000240325928,1.3773000240325928,1.4350199699401855,1.0529199838638306,1.2716699838638306,25545400.0
2018-01-09,1.228279948234558,1.228279948234558,1.4246699810028076,1.1837300062179563,1.378309965133667,14301200.0
2018-01-10,1.1887099742889404,1.1887099742889404,1.2644799947738647,1.092960000038147,1.2382700443267822,11260700.0
2018-01-11,1.0103299617767334,1.0103299617767334,1.2934800386428833,0.9721909761428832,1.1836999654769895,10009300.0
2018-01-12,1.0515600442886353,1.0515600442886353,1.1414200067520142,0.9895489811897278,1.0297499895095823,9231200.0
2018-01-13,1.1012300252914429,1.1012300252914429,1.284000039100647,1.049090027809143,1.0534600019454956,12319900.0
2018-01-14,1.0108400583267212,1.0108400583267212,1.1545900106430054,0.9410849809646606,1.1064399480819702,5844480.0
2018-01-15,0.8776879906654358,0.8776879906654358,1.037019968032837,0.8484219908714294,1.0069500207901,8351260.0
2018-01-16,0.7564529776573181,0.7564529776573181,0.881771981716156,0.5247560143470764,0.881771981716156,8988860.0
2018-01-17,0.6986340284347534,0.6986340284347534,0.768202006816864,0.4793210029602051,0.7518470287322998,7658770.0
2018-01-18,0.7442299723625183,0.7442299723625183,0.819819986820221,0.691332995891571,0.7024539709091187,5953820.0
2018-01-19,0.8129050135612488,0.8129050135612488,0.9082270264625548,0.7031310200691223,0.7391700148582458,7383730.0
2018-01-20,1.2193000316619873,1.2193000316619873,1.2193000316619873,0.8054990172386169,0.8206740021705627,13848900.0
2018-01-21,0.88782799243927,0.88782799243927,1.195639967918396,0.840487003326416,1.195639967918396,22703900.0
2018-01-22,0.8028579950332642,0.8028579950332642,1.0158599615097046,0.7348430156707764,0.9057940244674684,12408600.0
2018-01-23,0.8019170165061951,0.8019170165061951,0.8628389835357666,0.7186539769172668,0.8022350072860718,7552930.0
2018-01-24,0.7928630113601685,0.7928630113601685,0.8341159820556641,0.7669609785079956,0.7988479733467102,6451640.0
2018-01-25,0.76043701171875,0.76043701171875,0.8326629996299744,0.7206889986991882,0.8003829717636108,6271900.0
2018-01-26,0.7098529934883118,0.7098529934883118,0.787676990032196,0.6784229874610901,0.7568110227584839,5618280.0
2018-01-27,0.7806749939918518,0.7806749939918518,0.8463730216026306,0.6897050142288208,0.7109609842300415,14915400.0
2018-01-28,0.7606009840965271,0.7606009840965271,0.8559330105781555,0.7519980072975159,0.789529025554657,9034380.0
2018-01-29,0.6977120041847229,0.6977120041847229,0.7615249752998352,0.6859250068664551,0.7567989826202393,5220320.0
2018-01-30,0.5967779755592346,0.5967779755592346,0.7000049948692322,0.5627750158309937,0.7000049948692322,5598540.0
2018-01-31,0.6201459765434265,0.6201459765434265,0.624019980430603,0.5658130049705505,0.5988720059394836,6957010.0
2018-02-01,0.520346999168396,0.520346999168396,0.6234009861946106,0.480307012796402,0.6199589967727661,6605630.0
2018-02-02,0.4945740103721618,0.4945740103721618,0.5238369703292847,0.3519499897956848,0.5184400081634521,7123780.0
2018-02-03,0.5185580253601074,0.5185580253601074,0.5447919964790344,0.4534029960632324,0.5001170039176941,5826330.0
2018-02-04,0.4343709945678711,0.4343709945678711,0.5257539749145508,0.4034869968891144,0.5186120271682739,5171480.0
2018-02-05,0.3415060043334961,0.3415060043334961,0.4370979964733124,0.3072449862957001,0.4301579892635345,4347320.0
2018-02-06,0.4252479970455169,0.4252479970455169,0.4385139942169189,0.2720569968223572,0.3437069952487945,6105750.0
2018-02-07,0.3767710030078888,0.3767710030078888,0.4436439871788025,0.3731279969215393,0.4258129894733429,5201810.0
2018-02-08,0.411080002784729,0.411080002784729,0.4331269860267639,0.3755240142345428,0.3755240142345428,5285960.0
2018-02-09,0.4351939857006073,0.4351939857006073,0.4400199949741363,0.391975998878479,0.4120280146598816,3047610.0
2018-02-10,0.4198740124702453,0.4198740124702453,0.4801140129566192,0.4001660048961639,0.4355030059814453,3474900.0
2018-02-11,0.4161570072174072,0.4161570072174072,0.4356490075588226,0.3783130049705505,0.4197160005569458,2544010.0
2018-02-12,0.4902819991111755,0.4902819991111755,0.519707977771759,0.4146189987659454,0.4175409972667694,7646360.0
2018-02-13,0.5707589983940125,0.5707589983940125,0.624750018119812,0.4825240075588226,0.4889299869537353,30283200.0
2018-02-14,0.5682529807090759,0.5682529807090759,0.5879160165786743,0.5324339866638184,0.5642049908638,11953100.0
2018-02-15,0.5652509927749634,0.5652509927749634,0.5793579816818237,0.5297470092773438,0.568244993686676,7288970.0
2018-02-16,0.639627993106842,0.639627993106842,0.6666010022163391,0.55765700340271,0.5618029832839966,9385160.0
2018-02-17,0.6724870204925537,0.6724870204925537,0.6839010119438171,0.6365460157394409,0.6443390250205994,8038940.0
2018-02-18,0.7617610096931458,0.7617610096931458,0.7813569903373718,0.5871490240097046,0.6766639947891235,15946800.0
2018-02-19,0.7743620276451111,0.7743620276451111,0.8759070038795471,0.7105000019073486,0.7600640058517456,29965000.0
2018-02-20,0.6999260187149048,0.6999260187149048,0.820339024066925,0.6981959939002991,0.7712590098381042,11664800.0
2018-02-21,0.653668999671936,0.653668999671936,0.7342709898948669,0.6236810088157654,0.6953639984130859,7049450.0
2018-02-22,0.6019229888916016,0.6019229888916016,0.7138410210609436,0.5842729806900024,0.6547939777374268,5678200.0
2018-02-23,0.6747909784317017,0.6747909784317017,0.6766930222511292,0.5722249746322632,0.6012139916419983,6902820.0
2018-02-24,0.6509580016136169,0.6509580016136169,0.7184029817581177,0.6184980273246765,0.6760259866714478,5582380.0
2018-02-25,0.6757150292396545,0.6757150292396545,0.6998270153999329,0.636775016784668,0.6460130214691162,5793540.0
2018-02-26,0.6914460062980652,0.6914460062980652,0.6983479857444763,0.6417570114135742,0.6727510094642639,4113690.0
2018-02-27,0.7239570021629333,0.7239570021629333,0.7351800203323364,0.6766549944877625,0.691860020160675,5426840.0
2018-02-28,0.6614469885826111,0.6614469885826111,0.740327000617981,0.6610519886016846,0.7241430282592773,4943770.0
2018-03-01,0.6630650162696838,0.6630650162696838,0.6808559894561768,0.649848997592926,0.662293016910553,3992240.0
2018-03-02,0.6527420282363892,0.6527420282363892,0.6737989783287048,0.6466190218925476,0.6616629958152771,3763040.0
2018-03-03,0.6287059783935547,0.6287059783935547,0.6694309711456299,0.6153370141983032,0.6521530151367188,3547810.0
2018-03-04,0.592818021774292,0.592818021774292,0.6401090025901794,0.5746300220489502,0.6292179822921753,4243320.0
2018-03-05,0.5867379903793335,0.5867379903793335,0.6080930233001709,0.5763729810714722,0.594186007976532,4530590.0
2018-03-06,0.5338699817657471,0.5338699817657471,0.5836899876594543,0.5290830135345459,0.5836899876594543,3218950.0
2018-03-07,0.5211480259895325,0.5211480259895325,0.5675190091133118,0.4556210041046142,0.5338349938392639,5364650.0
2018-03-08,0.4864220023155212,0.4864220023155212,0.5235400199890137,0.4613710045814514,0.5174729824066162,3397200.0
2018-03-09,0.480877012014389,0.480877012014389,0.4923619925975799,0.4314849972724914,0.4854269921779632,3412130.0
2018-03-10,0.4677099883556366,0.4677099883556366,0.5113139748573303,0.4660539925098419,0.4787009954452514,2491710.0
2018-03-11,0.5135239958763123,0.5135239958763123,0.5166879892349243,0.4468660056591034,0.4656690061092376,2527380.0
2018-03-12,0.5101979970932007,0.5101979970932007,0.5634210109710693,0.4962399899959564,0.5109909772872925,5513180.0
2018-03-13,0.5638409852981567,0.5638409852981567,0.5656419992446899,0.5047709941864014,0.5075049996376038,4227540.0
2018-03-14,0.4436089992523193,0.4436089992523193,0.5774059891700745,0.4317770004272461,0.566199004650116,5288160.0
2018-03-15,0.4197370111942291,0.4197370111942291,0.4445950090885162,0.3960930109024048,0.4426360130310058,8460960.0
2018-03-16,0.4244199991226196,0.4244199991226196,0.4421620070934295,0.4160149991512298,0.4179989993572235,10271100.0
2018-03-17,0.373861014842987,0.373861014842987,0.4239940047264099,0.3667339980602264,0.4239940047264099,9340520.0
2018-03-18,0.3733380138874054,0.3733380138874054,0.3803260028362274,0.2841840088367462,0.3723320066928863,9742300.0
2018-03-19,0.3816440105438232,0.3816440105438232,0.3863100111484527,0.3531990051269531,0.3711020052433014,8994920.0
2018-03-20,0.3917129933834076,0.3917129933834076,0.4017890095710754,0.3610590100288391,0.3874160051345825,8897510.0
2018-03-21,0.4454210102558136,0.4454210102558136,0.4558030068874359,0.3900600075721741,0.3924590051174164,12823600.0
2018-03-22,0.419292002916336,0.419292002916336,0.4575749933719635,0.3907079994678497,0.4446460008621216,10720800.0
2018-03-23,0.4091399908065796,0.4091399908065796,0.4273329973220825,0.3792200088500976,0.4198890030384063,9846940.0
2018-03-24,0.4190849959850311,0.4190849959850311,0.4332720041275024,0.4019179940223694,0.4143419861793518,8999810.0
2018-03-25,0.4061050117015838,0.4061050117015838,0.4180740118026733,0.3937880098819732,0.4103460013866424,8585700.0
2018-03-26,0.3714959919452667,0.3714959919452667,0.4136219918727875,0.3469539880752563,0.4057449996471405,9116330.0
2018-03-27,0.3426249921321869,0.3426249921321869,0.3723689913749695,0.3372049927711487,0.3712280094623565,6654480.0
2018-03-28,0.3513669967651367,0.3513669967651367,0.3596769869327545,0.3363400101661682,0.3436329960823059,8432800.0
2018-03-29,0.2801609933376312,0.2801609933376312,0.3543179929256439,0.2756490111351013,0.3527249991893768,8848710.0
2018-03-30,0.2874940037727356,0.2874940037727356,0.3061090111732483,0.2687450051307678,0.2804549932479858,7631570.0
2018-03-31,0.2801710069179535,0.2801710069179535,0.2983239889144897,0.2785429954528808,0.2867720127105713,7349410.0
2018-04-01,0.2615799903869629,0.2615799903869629,0.2845839858055115,0.2445670068264007,0.2800869941711426,7962260.0
2018-04-02,0.2736839950084686,0.2736839950084686,0.2790839970111847,0.2598820030689239,0.2628990113735199,7697230.0
2018-04-03,0.2954730093479156,0.2954730093479156,0.2982690036296844,0.2699539959430694,0.2739579975605011,8705370.0
2018-04-04,0.2901610136032104,0.2901610136032104,0.3004480004310608,0.2690609991550445,0.2953250110149383,8929810.0
2018-04-05,0.2869249880313873,0.2869249880313873,0.308896005153656,0.2723810076713562,0.2890630066394806,9738160.0
2018-04-06,0.2750619947910309,0.2750619947910309,0.2900330126285553,0.2707990109920501,0.2852390110492706,7671220.0
2018-04-07,0.3041239976882934,0.3041239976882934,0.3054539859294891,0.2750129997730255,0.2750590145587921,8668510.0
2018-04-08,0.3270939886569977,0.3270939886569977,0.3304589986801147,0.3002530038356781,0.3062399923801422,10058800.0
2018-04-09,0.3115279972553253,0.3115279972553253,0.3396520018577575,0.3000989854335785,0.3280470073223114,9020550.0
2018-04-10,0.3558360040187835,0.3558360040187835,0.3579759895801544,0.3130789995193481,0.3183949887752533,9540080.0
2018-04-11,0.3592869937419891,0.3592869937419891,0.3755500018596649,0.3526020050048828,0.3564819991588592,10603500.0
2018-04-12,0.3868109881877899,0.3868109881877899,0.3904320001602173,0.3397510051727295,0.3581070005893707,11536600.0
2018-04-13,0.3815430104732513,0.3815430104732513,0.4194979965686798,0.3743650019168854,0.3872930109500885,11271600.0
2018-04-14,0.394006997346878,0.394006997346878,0.4182249903678894,0.3749639987945556,0.3800399899482727,9167990.0
2018-04-15,0.4239459931850433,0.4239459931850433,0.4271189868450165,0.3945150077342987,0.3945150077342987,10745200.0
2018-04-16,0.4095380008220672,0.4095380008220672,0.4277540147304535,0.3958530128002167,0.4242799878120422,9864350.0
2018-04-17,0.4167940020561218,0.4167940020561218,0.4426389932632446,0.4075979888439178,0.4095929861068725,11459000.0
2018-04-18,0.446289986371994,0.446289986371994,0.447513997554779,0.4180920124053955,0.4180920124053955,11779200.0
2018-04-19,0.4827950000762939,0.4827950000762939,0.4827950000762939,0.4457589983940124,0.4464460015296936,12987800.0
2018-04-20,0.4814159870147705,0.4814159870147705,0.4913069903850555,0.4632200002670288,0.4831050038337707,12657700.0
2018-04-21,0.4913490116596222,0.4913490116596222,0.4945800006389618,0.4375630021095276,0.4823839962482452,13561900.0
2018-04-22,0.4993110001087188,0.4993110001087188,0.5072849988937378,0.4848990142345428,0.4917320013046264,12728200.0
2018-04-23,0.4923849999904632,0.4923849999904632,0.5060200095176697,0.4910799860954284,0.4995889961719513,13159300.0
2018-04-24,0.5368239879608154,0.5368239879608154,0.5401750206947327,0.4922220110893249,0.4922220110893249,14352600.0
2018-04-25,0.4343670010566711,0.4343670010566711,0.5330489873886108,0.4205169975757599,0.5330489873886108,11093000.0
2018-04-26,0.4901480078697204,0.4901480078697204,0.4915220141410827,0.4270580112934112,0.4378179907798767,9472480.0
2018-04-27,0.452004998922348,0.452004998922348,0.4903880059719085,0.452004998922348,0.4903880059719085,9550110.0
2018-04-28,0.4844760000705719,0.4844760000705719,0.4858250021934509,0.4488900005817413,0.4521349966526031,11109500.0
2018-04-29,0.5157139897346497,0.5157139897346497,0.5242249965667725,0.4840390086174011,0.4840390086174011,13234600.0
2018-04-30,0.5446910262107849,0.5446910262107849,0.5955039858818054,0.5016239881515503,0.5188459753990173,16614200.0
2018-05-01,0.550400972366333,0.550400972366333,0.5640900135040283,0.5136020183563232,0.546737015247345,11765500.0
2018-05-02,0.5647010207176208,0.5647010207176208,0.5790550112724304,0.5422670245170593,0.5488070249557495,12012700.0
2018-05-03,0.5676689743995667,0.5676689743995667,0.5806350111961365,0.553803026676178,0.5660809874534607,12504300.0
2018-05-04,0.5825830101966858,0.5825830101966858,0.59517502784729,0.5456820130348206,0.5681149959564209,9514950.0
2018-05-05,0.5715349912643433,0.5715349912643433,0.6057180166244507,0.5685809850692749,0.5824339985847473,8913690.0
2018-05-06,0.5383989810943604,0.5383989810943604,0.579571008682251,0.5157150030136108,0.5698230266571045,10221100.0
2018-05-07,0.5730180144309998,0.5730180144309998,0.576308012008667,0.5172460079193115,0.5391510128974915,11589100.0
2018-05-08,0.552856981754303,0.552856981754303,0.6052460074424744,0.5504720211029053,0.5753980278968811,11448600.0
2018-05-09,0.5395119786262512,0.5395119786262512,0.5665889978408813,0.5187399983406067,0.5534409880638123,8745840.0
2018-05-10,0.526373028755188,0.526373028755188,0.5805619955062866,0.5260810256004333,0.5407559871673584,8782470.0
2018-05-11,0.467844009399414,0.467844009399414,0.5422790050506592,0.4633240103721618,0.5285530090332031,7637640.0
2018-05-12,0.4647639989852905,0.4647639989852905,0.4795269966125488,0.435912013053894,0.4655869901180267,5915750.0
2018-05-13,0.5034570097923279,0.5034570097923279,0.5078480243682861,0.4619979858398437,0.4638150036334991,7268850.0
2018-05-14,0.5169119834899902,0.5169119834899902,0.5193880200386047,0.4671519994735718,0.5035610198974609,7448630.0
2018-05-15,0.5040040016174316,0.5040040016174316,0.5402870178222656,0.5027599930763245,0.5171170234680176,4057270.0
2018-05-16,0.4808909893035888,0.4808909893035888,0.5093430280685425,0.4739499986171722,0.5040689706802368,2304810.0
2018-05-17,0.4444470107555389,0.4444470107555389,0.4895240068435669,0.439750999212265,0.4809570014476776,1213040.0
2018-05-18,0.4568409919738769,0.4568409919738769,0.4661549925804138,0.4310329854488373,0.4431979954242706,1238790.0
2018-05-19,0.4530859887599945,0.4530859887599945,0.4694809913635254,0.4468570053577423,0.4568879902362823,1142290.0
2018-05-20,0.4531710147857666,0.4531710147857666,0.4668000042438507,0.4473040103912353,0.4540599882602691,1025440.0
2018-05-21,0.4243560135364532,0.4243560135364532,0.4598149955272674,0.4223589897155761,0.4532760083675384,1486740.0
2018-05-22,0.3769969940185547,0.3769969940185547,0.4250940084457397,0.3759379982948303,0.4245440065860748,1350350.0
2018-05-23,0.348690003156662,0.348690003156662,0.3846499919891357,0.3252210021018982,0.3767949938774109,1671040.0
